업소명,소재지(도로명),소재지전화
부사할매불고기,"대전광역시 중구 대종로224번길 15 (석교동,(1층))",042-222-3309
최가네식당,"대전광역시 중구 대둔산로159번안길 2 (안영동,(1,2층))",042-583-6997
돼지삼형제,"대전광역시 중구 천근로69번길 12 (문화동,(1층))",042-581-9104
피자2001산성복수점,"대전광역시 중구 대둔산로 380 (산성동,(1층))",042-581-2121
정미소문화국수,"대전광역시 중구 보문산로177번안길 44, 1층 (문화동)",042-586-1566
시루향기산성점,"대전광역시 중구 대둔산로 364 (산성동,(1층))",042-587-0592
골목집식당,대전광역시 중구 중교로 23 (대흥동),042-255-8558
신촌식당,"대전광역시 중구 대흥로 15 (문화동,,183,196,197(3층))",042-254-6350
따불로치킨,"대전광역시 중구 태평로26번길 14 (유천동,(1층))",042-522-9092
강연우동태찌개,"대전광역시 중구 대둔산로 149, 1층 (안영동)",042-581-1384
놀부네집,"대전광역시 중구 대전천서로 655-1 (중촌동,(1층))",042-222-8892
하루애쿡,대전광역시 중구 목동로 27 (목동),042-253-8256
조마루감자탕,"대전광역시 중구 계룡로 814, 1층 (오류동)",042-534-4405
저기삼겹살파내,"대전광역시 중구 대종로 89 (옥계동,(1층))",042-285-9222
신천북순대,"대전광역시 중구 충무로 158 (문창동,(1층))",042-284-1695
오점오닭갈비,"대전광역시 중구 중촌로24번길 52 (중촌동,(1층))",042-223-0566
본도시락중구청점,"대전광역시 중구 충무로107번길 100, 102호 (대흥동, 대전센트럴자이 2단지 상가동)",042-222-5225
신부산오뎅,"대전광역시 중구 계백로1565번길 34 (유천동,(1층))",042-522-3040
조마루감자탕,"대전광역시 중구 계백로 1528 (유천동,(1층))",042-581-9260
쏠레식당,대전광역시 중구 당디로 118 (유천동),
장어꼼장어나라,대전광역시 중구 계백로 1553-15 (유천동),042-534-5096
오류옥천가,"대전광역시 중구 계룡로874번길 87 (오류동,(1층))",042-534-5658
동양돌구이,"대전광역시 중구 대종로 130 (호동,(1층))",042-284-9233
야끼몽,"대전광역시 중구 태평로26번길 25 (유천동,(1층))",
어울림,"대전광역시 중구 수침로55번길 3 (태평동,(1층))",042-535-1092
손이가어죽칼국수,"대전광역시 중구 중앙로121번길 44, 1~2층 (선화동)",042-489-5003
선사부짬뽕중화요리,"대전광역시 중구 대종로 205 (석교동,(1층))",042-285-0133
노군꼬치,"대전광역시 중구 중앙로130번길 40 (대흥동,(1층))",042-252-5520
상하이양꼬치,"대전광역시 중구 계룡로882번길 38 (오류동,(1층))",042-524-2066
지글지글,"대전광역시 중구 보문로 23 (문창동,(1층))",042-273-4677
옥천정,"대전광역시 중구 대둔산로 184, 2층 (안영동)",042-587-3355
중촌수구리,"대전광역시 중구 대전천서로 629 (중촌동,(1층))",042-252-5954
수라궁중칼국수,"대전광역시 중구 보문산로 32 (산성동,(1층))",042-582-5392
만다린,"대전광역시 중구 대종로151번길 1 (호동,(1층))",042-284-1900
뚝배기식당,"대전광역시 중구 보문로47번길 40 (문창동,(1층))",042-282-5877
장독대김치찌개,"대전광역시 중구 보문로268번길 32, 1층 (대흥동)",042-252-8878
진국,"대전광역시 중구 계룡로882번길 22 (오류동,,10(1층))",042-526-1192
대청마루식당,"대전광역시 중구 수침로 89, 1층 (태평동)",042-527-8035
수미쭈꾸미세상,"대전광역시 중구 오류로74번길 37, 1층 (오류동)",042-526-3567
부안집밥,"대전광역시 중구 보문로 253-21, 1층 (대흥동)",042-257-5355
다정식당,"대전광역시 중구 중촌로24번길 46 (중촌동,(1층))",042-252-2228
쌍둥이네,대전광역시 중구 유천로86번길 21 (유천동),042-527-3322
송우리분식집,"대전광역시 중구 중앙로 지하 71 (선화동,대흥동630 은행동216, 330지하상가C-가62호)",042-222-5990
김밥천국,"대전광역시 중구 중교로 5 (대흥동,(1층))",042-222-6151
중촌죽전문점선병원점,"대전광역시 중구 목중로26번길 38 (중촌동,,18(1층))",042-222-5002
하나분식,대전광역시 중구 문창로 8 (문창동),042-285-2819
숯불홍닭갈비,"대전광역시 중구 보문로 62, 1층 (부사동)",042-251-9991
우리동네,대전광역시 중구 대종로 510 (은행동),042-222-9288
본죽태평점,"대전광역시 중구 태평로 18 (유천동,(1층))",042-527-7888
땡큐분식,대전광역시 중구 대전천서로 457 (은행동),042-253-9533
부화식당,"대전광역시 중구 목중로4번길 13, 1층 (중촌동)",042-223-5879
풍미대패삼겹,"대전광역시 중구 동서대로1403번길 49, 1층 (목동)",042-537-2452
헤라,"대전광역시 중구 태평로26번길 14 (유천동,(2층))",042-531-7085
옛날전통짜장,"대전광역시 중구 동서대로 1208-5 (태평동,(1층))",042-532-4494
문화점굽네치킨,"대전광역시 중구 천근로69번길 114 (문화동,계룡문화아파트 상가103호)",042-582-5828
행복식당,"대전광역시 중구 솔밭로 13 (대사동,(1층))",
유천수구리,"대전광역시 중구 계백로1566번길 36 (유천동,(1층))",
오아시스식당,"대전광역시 중구 수침로55번길 3 (태평동,(2층))",042-525-2227
대전뼈다귀24시감자탕,"대전광역시 중구 대종로 624, 1층 (중촌동)",042-223-0375
가락동리어카포차,"대전광역시 중구 송리로38번길 8, 1층 (문화동)",042-586-8787
태평골손칼국수,"대전광역시 중구 동서대로 1227-5 (태평동,(1층))",042-523-4880
갈치조림고을,"대전광역시 중구 당디로 102 (유천동,(1층))",042-585-4554
인생족발,"대전광역시 중구 동서대로 1203-1 (태평동,(1층))",042-532-0447
투다리,"대전광역시 중구 태평로26번길 8 (유천동,(1층))",042-531-8008
옥천가,"대전광역시 중구 대종로 216 (석교동,(1층))",042-286-1255
인생은생방송,"대전광역시 중구 송리로 46-2, 1층 (문화동)",042-585-8309
북새통식당,"대전광역시 중구 계백로1565번길 53 (유천동,(1층))",042-537-1237
평산면옥,"대전광역시 중구 유천로18번길 9 (유천동,(1층))",042-582-5215
사나이창태평유천점,대전광역시 중구 태평로26번길 12 (유천동),042-523-9092
본죽앤비빔밥카페,"대전광역시 중구 계백로 1717 (오류동,,23(1층))",042-536-0273
또봉이통닭사정오월드점,"대전광역시 중구 대둔산로 310-22, 1층 (사정동)",042-586-5494
불향낙지,"대전광역시 중구 유천로 81 (유천동,,104(1층))",
옥천집,"대전광역시 중구 계룡로955번길 99 (대사동,(1층))",042-254-5554
도원춘,"대전광역시 중구 대둔산로 415 (산성동,103호)",042-585-0225
불불이족발,"대전광역시 중구 유천로 85 (유천동,(1층))",042-533-0082
마루참치,"대전광역시 중구 태평로26번길 13 (유천동,(1층))",042-523-7835
유가옥,"대전광역시 중구 대종로 323 (부사동,(1층))",042-256-3455
커피니식당,"대전광역시 중구 중앙로130번길 30, 2,3층 (대흥동)",
저녁노을,"대전광역시 중구 계룡로874번길 87 (오류동,(1층))",042-522-5602
용정마을식당,"대전광역시 중구 동서대로1327번길 98-3 (용두동,(1층))",042-252-1659
풍년산채골,"대전광역시 중구 보문산로 147-18 (문화동,(1층))",042-584-6094
투다리,"대전광역시 중구 보문로337번길 21 (선화동,(1층))",042-253-4244
마디식당,"대전광역시 중구 보문로268번길 39 (대흥동,(3층))",042-254-7333
오광팔이,"대전광역시 중구 동서대로1322번길 39 (용두동,(1층))",
공주식당,대전광역시 중구 유등천동로198번길 8 (산성동),
경원생오리생삼겹,"대전광역시 중구 대종로296번길 10 (문창동,(1층))",042-286-6646
송림김밥,"대전광역시 중구 중교로 53 (대흥동, 219(1층))",
포기하지마,"대전광역시 중구 대둔산로 510-22 (유천동,(1,2층))",042-585-7755
종로맥가오류점,"대전광역시 중구 계백로 1725-22 (오류동,101호)",042-525-2307
내담,"대전광역시 중구 보문산로171번안길 24 (문화동,(1층))",042-582-8777
선코다리냉면,"대전광역시 중구 대흥로 22, 1층 (대사동)",042-224-6699
다닭오룡점,"대전광역시 중구 동서대로1327번길 82, 1층 (용두동)",042-222-1359
교촌치킨대사부사점,"대전광역시 중구 충무로 116 (대사동,(1층))",042-254-9777
공주칼국수,대전광역시 중구 충무로 114 (대사동),042-223-1600
엔제리너스태평점,"대전광역시 중구 태평로26번길 8 (유천동,(1층))",
정통중화요리,"대전광역시 중구 보문로254번길 13 (대흥동,(1층))",042-221-5411
빅스타피자,"대전광역시 중구 대종로 583 (선화동,선호아파트101동상가109호)",042-257-7441
또순이네,대전광역시 중구 유천로142번길 9 (태평동),042-525-0432
바로만든족발대전태평점,대전광역시 중구 계백로1571번길 27 (유천동),042-527-3392
팔롬비니,"대전광역시 중구 중교로 44 (대흥동,(2층))",042-221-0970
최가네,"대전광역시 중구 단재로 214-12 (어남동,(1층))",042-285-6997
국대곱창,"대전광역시 중구 선화로 126-7 (선화동,(1층))",042-221-1117
꾸미신닭발,"대전광역시 중구 중교로 92 (대흥동,(1층))",042-256-8285
토라야마2식당,"대전광역시 중구 중앙로130번길 41, 2층 (대흥동)",042-222-7942
풀잎채한상세이점,"대전광역시 중구 계백로 1700, 세이백화점 별관 5층 (문화동)",042-257-2010
유끼,"대전광역시 중구 중앙로130번길 30 (대흥동,(1층))",042-253-2680
다전우렁쌈밥,"대전광역시 중구 보문로 168-12 (대사동,(1층))",042-242-5989
신포우리만두,"대전광역시 중구 대종로480번길 30 (은행동,(1층))",042-222-7501
가마솥곰탕,대전광역시 중구 안영로 4 (안영동),042-586-5655
참스민부사점,"대전광역시 중구 대종로 310 (부사동,,10(1층))",042-253-9540
사정마을,"대전광역시 중구 대둔산로 353 (사정동,,6(1층))",042-581-0885
구전주식당,"대전광역시 중구 중앙로129번길 9, 1층 (선화동)",042-226-5665
토스트굽는사람들,"대전광역시 중구 선화로43번길 108 (선화동,(1층))",
아줌마김밥,대전광역시 중구 목중로26번길 38 (중촌동),042-224-0234
대박건강보리밥,"대전광역시 중구 보문산공원로 506, 1층 (대사동)",042-252-8558
미가칼국수,"대전광역시 중구 대종로422번길 17 (대흥동,(1층))",042-252-9600
김밥천국,"대전광역시 중구 산서로 55 (사정동,(1층))",042-581-1924
멕시카나치킨세이점,"대전광역시 중구 계룡로904번안길 14 (문화동,,1-100(1층))",042-586-9289
앗싸대패삼겹살산성점,대전광역시 중구 보문산로 40 (산성동),
꼬끼오옛날통닭,"대전광역시 중구 보문산로35번길 32, 1층 (산성동)",042-585-2281
펍앤펍스대흥점,"대전광역시 중구 중앙로138번길 29 (대흥동,(2층))",042-222-2213
신옛날양푼이동태대구찌개,"대전광역시 중구 대둔산로 313 (사정동,(1층))",042-585-7750
김덕후의곱창조대흥점,"대전광역시 중구 중앙로130번길 35 (대흥동,,228(1층))",042-222-3391
자매뒷박숯불구이,대전광역시 중구 대종로224번길 33 (석교동),042-282-1444
진성할매추어탕,대전광역시 중구 보문산로 147-18 (문화동),042-528-7041
닭이랑오리랑엄마네,"대전광역시 중구 대종로 182 (석교동,(1층))",042-271-0097
처갓집밥상,대전광역시 중구 충무로 120-1 (대사동),042-226-9985
기찻길옆식당,"대전광역시 중구 어덕마을로 113 (중촌동,(1,2층))",042-253-5345
포도원삼계탕,"대전광역시 중구 계룡로874번길 15 (오류동,(1층))",042-537-4004
미스돼지,"대전광역시 중구 계백로1565번길 62, 1층 (유천동)",042-533-5592
양촌대패삼겹살,"대전광역시 중구 보문로67번길 18, 1층 (부사동)",042-222-5377
무주맛집,"대전광역시 중구 보문산공원로 542 (대사동,(1층))",042-226-2285
김밥천국,"대전광역시 중구 중앙로 127-1 (선화동,(1층))",042-223-5882
신토불이식당,"대전광역시 중구 대전천서로199번길 21 (석교동,(1층))",042-285-0202
장패,"대전광역시 중구 유천로86번길 30 (유천동,(1층))",042-535-2114
도토리분식,"대전광역시 중구 선화로22번길 8 (용두동,(1층))",042-222-2147
맥주창고,대전광역시 중구 중앙로156번길 43 (은행동),042-255-3240
우리집김밥,"대전광역시 중구 수침로106번길 8 (태평동,(1층))",
별밤식당,"대전광역시 중구 대흥로121번길 43 (대흥동,(3층))",042-222-1261
태영막창,"대전광역시 중구 계백로1685번길 16 (오류동,(1층))",042-531-4593
옥식당,"대전광역시 중구 잔디로9번길 46, 1층 (산성동)",
산성식당,"대전광역시 중구 산성로 25 (산성동,(1층))",042-583-1704
황소백반,"대전광역시 중구 대종로334번길 24 (부사동,(1층))",042-253-4042
또봉이통닭태평점,"대전광역시 중구 수침로55번길 30 (태평동,(1층))",042-522-1456
그곳에가면,"대전광역시 중구 보문로 28 (문창동,(1층))",042-274-2925
진이네남원추어탕,"대전광역시 중구 수침로55번길 49 (태평동,(1층))",042-527-8240
소쿠리구운보쌈,"대전광역시 중구 계룡로882번길 57 (오류동,(1,2))",042-527-1948
틈새라면,"대전광역시 중구 중앙로 136-1, 1층 (대흥동)",042-257-1030
다루마,"대전광역시 중구 계백로 1725-22 (오류동,크럭스빌주상복합105호)",042-534-3144
맛나감자탕,"대전광역시 중구 동서대로 1228-8 (태평동,,2,3,26(1층))",042-534-0602
반찬식당,"대전광역시 중구 보문산공원로 484 (대사동,,197(1층))",042-253-2794
고박사조개손칼국수,"대전광역시 중구 보문로 324-8 (선화동,(1층))",042-257-5511
꼬뚜레식당,대전광역시 중구 계백로1615번길 19 (유천동),042-527-3537
백암골흑염소마을,대전광역시 중구 태평로44번길 6 (유천동),042-533-1100
아리스타커피,"대전광역시 중구 중앙로 120 (대흥동,(1층))",
박가네퓨전마차,"대전광역시 중구 천근로69번길 9 (문화동,(1층))",042-585-1252
공주분식,"대전광역시 중구 문창로 97, 1층 (문창동)",042-257-8849
유가네닭갈비,"대전광역시 중구 중앙로164번길 35 (은행동,(1층))",042-222-9001
소문난부추칼국수,"대전광역시 중구 성산로3번길 44 (안영동,(1층))",042-586-5882
해금강횟집,"대전광역시 중구 돌다리로8번길 14 (석교동,(1층))",042-272-8885
부여식당,"대전광역시 중구 인창로 23-2 (문창동,(1층))",042-226-0210
간이역식당,"대전광역시 중구 대종로 59 (옥계동,(1층))",042-284-9288
황금알식당,<REPLACE>,042-256-8045
지코바치킨대흥점,"대전광역시 중구 보문로 187 (대흥동,(1층))",042-242-3392
옛날전주식당,"대전광역시 중구 보문산공원로 488 (대사동,,202(1,2층))",042-252-4873
남산마차식당2,"대전광역시 중구 대종로 131 (호동,(지하))",
홍가닭,"대전광역시 중구 계룡로874번길 53 (오류동,(1층))",042-534-9293
꽃피는봄이오면,"대전광역시 중구 동서대로 1203-2 (태평동,(1층))",042-526-4568
감나무식당,"대전광역시 중구 보문로30번길 128 (문창동,(1층))",042-271-0688
원조으뜸칼국수,"대전광역시 중구 대흥로 7-5, 1층 (문화동)",042-242-7789
케이식당,대전광역시 중구 계룡로882번길 22 (오류동),042-528-5789
정가네식당,"대전광역시 중구 계백로1566번길 73 (유천동,(1층))",
홍한울순대전문점,"대전광역시 중구 오류로 20 (오류동,,16  101호)",042-242-8181
캠토토스트,"대전광역시 중구 수침로111번길 15, 1층 (태평동)",042-536-1236
정식당2,"대전광역시 중구 중앙로130번길 37-12 (대흥동,(1,2층))",042-257-5058
목동김밥,"대전광역시 중구 동서대로 1409, 1층 (목동)",042-252-2552
장원해물칼국수,"대전광역시 중구 보문산로215번길 71, 1층 (문화동)",042-581-0433
신화분식,"대전광역시 중구 천근로69번길 108 (문화동,(1층))",042-584-3276
주막산천식당,"대전광역시 중구 유천로86번길 29 (유천동,(1층))",042-522-9176
본죽대전태평쌍용예가점,"대전광역시 중구 평촌로 102 (유천동,(1층))",042-535-6288
포차1번지,"대전광역시 중구 대종로 212-1 (석교동,(1층))",042-282-3235
임창정의소주한잔대흥점,"대전광역시 중구 보문로260번길 50, 1층 (대흥동)",042-257-5244
괸돌해물찜,"대전광역시 중구 동서대로1193번길 4 (태평동,(1층))",042-533-8259
불돈생돈,"대전광역시 중구 보문로 29, 1층 (문창동)",042-272-6091
대흥점이화수전통육개장,"대전광역시 중구 중교로 38, 1층 (대흥동)",042-254-8800
고향촌,"대전광역시 중구 대종로 504 (은행동,, 138-1 (1층))",042-252-0719
놀부부대찌개중앙로역점,"대전광역시 중구 중앙로122번길 18 (대흥동,(1층))",042-255-1188
마나마나식당,대전광역시 중구 대종로583번길 34 (선화동),042-226-8007
길마차,"대전광역시 중구 보문로 22 (문창동,(1층))",
논두렁추어칼국수,"대전광역시 중구 보문로20번길 41, 1층 (문창동)",042-272-7589
빌런,"대전광역시 중구 보문로260번길 26, 1층 (대흥동)",
대박포차,"대전광역시 중구 계백로 1725-19, 1층 (오류동)",042-536-9992
동보성,"대전광역시 중구 대종로296번길 24 (문창동,(1층))",042-285-2015
역전할머니맥주,"대전광역시 중구 계룡로882번길 22, 1층 (오류동)",
아지트식당,"대전광역시 중구 대종로295번길 5 (부사동,(1층))",042-252-5022
니하오유천점,"대전광역시 중구 평촌로 84 (유천동,,197-2)",042-535-8070
진지방,"대전광역시 중구 당디로 99 (산성동,(1층))",042-585-8457
원추찜닭2,"대전광역시 중구 중앙로156번길 41-10, 지하1층 (은행동)",042-253-0048
우리맥주,"대전광역시 중구 계백로1565번길 49, 1층 (유천동)",042-524-0038
대구막창,"대전광역시 중구 동서대로 1224 (태평동,, 381-19, 381-29 (1층))",042-533-2916
참맛,"대전광역시 중구 대둔산로373번길 21 (산성동,(1층))",
살판났네,"대전광역시 중구 보문산로 113-11 (산성동,(1층))",
생생야채곱창,"대전광역시 중구 대둔산로 464 (산성동,(1층))",042-583-3400
오주공주칼국수,"대전광역시 중구 중앙로130번길 9 (대흥동,(1층))",042-242-3334
유천기사식당,"대전광역시 중구 유천로 51 (유천동,(1층))",042-583-8254
종로맥가,"대전광역시 중구 목중로26번길 30 (중촌동,(1층))",042-223-3334
고기타운,"대전광역시 중구 어덕마을로 162, 1층 (중촌동)",042-255-5776
진미식당,"대전광역시 중구 당디로 77-1 (산성동,(1층))",042-586-6222
군산복집앤봉평메밀촌,"대전광역시 중구 중앙로121번길 20, 1층 (선화동)",042-252-3588
대식가2900대흥점,대전광역시 중구 보문로260번길 62 (대흥동),
새한농원,"대전광역시 중구 단재로 88-13 (정생동,, 121(1층))",042-285-5643
연산순대,"대전광역시 중구 충무로 5 (대흥동,(1층))",042-221-7895
카페유등천,"대전광역시 중구 유등천동로 468, 1층 (태평동)",042-533-3830
주당,"대전광역시 중구 유천로86번길 10 (유천동,(1층))",042-527-7900
큰집숯불갈비,"대전광역시 중구 계룡로881번길 9-7 (용두동,(1층))",042-253-4848
착한낙지,"대전광역시 중구 보문산공원로497번길 16 (대사동,(1층))",042-224-2240
파티마당,"대전광역시 중구 대종로 498 (은행동,(지하1층))",042-222-8215
궁중참옻닭,"대전광역시 중구 중앙로13번길 52-2, 1층 (용두동)",042-253-3455
현숙소라우렁쌈밥,"대전광역시 중구 대흥로 20, 도로인접2층 (대사동)",042-524-8992
머스탱,"대전광역시 중구 중교로 53 (대흥동, 2층)",042-221-5016
청와대반점,"대전광역시 중구 태평로 169-1 (태평동,, 14, 15 (1층))",042-537-6887
시그널앤조이99프로,"대전광역시 중구 보문로260번길 60 (대흥동,. 226-1,2 (2층,3층))",042-242-6800
오케이치킨호프,"대전광역시 중구 태평로14번길 12 (유천동,(1층))",042-525-9589
60계치킨중촌점,"대전광역시 중구 목중로26번길 35 (중촌동,(1층))",042-242-5080
현아네,"대전광역시 중구 수침로55번길 50 (태평동,(1층))",042-531-6878
서대전역커피파르달,"대전광역시 중구 오류로 23 (오류동,외 17필지 (3층))",042-256-1982
(주)황제명태본가,"대전광역시 중구 계백로 1556, 1층 (유천동)",042-538-9293
로얄정,"대전광역시 중구 대종로549번길 21 (선화동,(1층))",042-221-3132
똑순이네,"대전광역시 중구 보문산공원로 522, 1층 (대사동)",042-222-2208
달빛소나타숯불갈비,"대전광역시 중구 평촌로 112 (유천동,(1층))",042-536-8800
짝태패밀리오류점,"대전광역시 중구 계백로 1713-20 (오류동,(1층))",
왔다삼겹살,"대전광역시 중구 태평로14번길 23 (유천동,(1층))",
영희네매운등갈비찜,"대전광역시 중구 중앙로122번길 45 (대흥동,(1층))",042-222-1384
5.5닭갈비버드내점,"대전광역시 중구 태평로 24 (유천동,(1층))",042-5325-5516
본죽,"대전광역시 중구 산성로 125 (문화동,(1층))",042-563-6233
또순이막창고추장숯불,"대전광역시 중구 유천로47번길 114-1, 1층 (유천동)",042-584-9142
궁중칼국수,"대전광역시 중구 대둔산로 200 (안영동,(1층))",042-583-3365
태평자연산잡어회,"대전광역시 중구 태평로 161 (태평동,(1층))",042-536-8245
들장미식당,"대전광역시 중구 문창로 85 (문창동,(1층))",042-257-5570
함지박,"대전광역시 중구 과례로22번길 55-6 (문화동,(1층))",042-583-3355
오징어와친구들,"대전광역시 중구 중앙로122번길 41 (대흥동,(1,2층))",042-254-0203
칠공팔공대전회관,"대전광역시 중구 대흥로 174 (대흥동,(2층))",042-257-5678
정포차,"대전광역시 중구 선화로 122 (선화동,(1층))",042-253-9994
조마루감자탕,"대전광역시 중구 대종로 159 (호동,(1층))",042-282-3609
한밭원조칼국수,"대전광역시 중구 문화로 73 (유천동,(1층))",042-585-3314
통소매둘,"대전광역시 중구 대흥로24번길 23 (대사동,(1층))",042-255-9565
시골칼국수,"대전광역시 중구 모암로 10 (호동,(1층))",042-273-9230
행운식당,"대전광역시 중구 동서대로1466번길 30 (선화동,(1층))",042-226-7576
송가네참옻집,대전광역시 중구 태평로 181-1 (태평동),042-536-5727
한가람식당,"대전광역시 중구 중앙로129번길 11 (선화동,(1층))",042-254-3549
양정숯불생고기,"대전광역시 중구 보문산로293번길 30 (문화동,(1층))",042-586-2667
인정원,"대전광역시 중구 계룡로 755 (용두동,(3층))",042-254-4999
고인돌피자앤마빠닭,"대전광역시 중구 보문로47번길 44 (문창동,(1층))",042-282-8885
한가네닭발집,"대전광역시 중구 선화로 131 (선화동,(1층))",042-255-9340
한우내장탕,"대전광역시 중구 충무로 151 (문창동,(1층))",
게다식당,"대전광역시 중구 보문로260번길 64 (대흥동,(1층))",042-226-9697
맥주야,"대전광역시 중구 계백로1565번길 39 (유천동,(1층))",
황금뷔페,"대전광역시 중구 중앙로 76, 지하1층 (대흥동)",042-223-0724
무쏘유천점,"대전광역시 중구 계백로1565번길 25 (유천동,(1층))",042-535-0296
이경옥정통김치찌개찜전문점,"대전광역시 중구 대종로 72 (옥계동,(1층))",
우리동네대패마을,"대전광역시 중구 계백로1618번길 30 (유천동,(1층))",042-581-8592
다리위오징어,"대전광역시 중구 보문로 21 (문창동,(1층))",
궁중해장국,"대전광역시 중구 오류로 97-4, 1층 (오류동)",042-528-5440
동해루,"대전광역시 중구 안영로 71 (사정동,(1층))",
구공주칼국수,"대전광역시 중구 대종로 706-1 (중촌동,(1층))",042-257-0667
화로본갈비,대전광역시 중구 대종로549번길 37 (선화동),042-226-8592
맛소야,"대전광역시 중구 계백로1565번길 10 (유천동,,42(1.2층))",042-524-9923
시골막국수와옹심이,"대전광역시 중구 대둔산로 275 (사정동,(1층))",042-585-4883
흑염소토속마을,"대전광역시 중구 대둔산로408번길 10, 1층 (산성동)",0507-1405-5565
목포아구찜,대전광역시 중구 계백로1583번길 18 (유천동),042-526-5332
씨에프티,"대전광역시 중구 계백로 1705-38 (오류동,,8)",042-525-7111
오시오,대전광역시 중구 보문산로 74 (산성동),042-581-5852
시골밥상,대전광역시 중구 천근로69번길 4 (문화동),042-585-0092
칭따오양꼬치,대전광역시 중구 보문산로 40 (산성동),
강쇠네소곱창,대전광역시 중구 보문로47번길 6 (문창동),042-272-2828
이강백조식당,"대전광역시 중구 당디로 58 (산성동,(1층))",042-584-5515
비돌식당,"대전광역시 중구 대흥로121번길 30-5 (대흥동,(1,2층))",
맛존치킨,"대전광역시 중구 대둔산로 389-1, 1,2층 (산성동)",
크래버대게나라대전점,"대전광역시 중구 계룡로 875 (용두동,1층)",042-253-5295
구공탄초벌구이,"대전광역시 중구 대둔산로 407-14, 1층 (산성동)",
단풍나무집,"대전광역시 중구 보문로162번길 70, 1층 (대사동)",042-223-3399
서씨네왕족발,대전광역시 중구 충무로 16 (대흥동),042-242-5696
장수돌솥밥,대전광역시 중구 보문로 241-1 (대흥동),042-222-7877
어촌마을과메기,대전광역시 중구 보문로 25 (문창동),042-283-5788
부산꼼장어,대전광역시 중구 대종로 58 (옥계동),042-285-9262
소도둑대전오류점,"대전광역시 중구 계백로1685번길 4, 1층 (오류동)",042-537-0096
태강닭불고기,대전광역시 중구 동서대로 1208-3 (태평동),042-523-4077
통발숯불구이,"대전광역시 중구 보문산로161번길 27, 1층 (문화동)",042-582-3515
둘둘치킨,대전광역시 중구 계룡로918번길 44-12 (문화동),042-322-0222
해맑은식당,대전광역시 중구 돌다리로8번길 3 (석교동),042-272-0955
황제돈까스,"대전광역시 중구 충무로 129 (대사동,(1층))",042-257-6332
북경,"대전광역시 중구 보문로 99-2, 1층 (부사동)",042-256-4494
제주막고기식당,"대전광역시 중구 목척1길 18 (은행동,(1층))",042-242-5866
수원정,대전광역시 중구 오류로 9 (오류동),042-526-3352
장어랑송어랑,대전광역시 중구 계룡로882번길 94 (오류동),042-532-4223
막퍼줘,"대전광역시 중구 유천로47번길 122, 1층 (유천동)",042-584-2700
강대포식당,"대전광역시 중구 목중로26번길 41 (중촌동,(1층))",042-226-8595
더비원,"대전광역시 중구 중앙로130번길 36 (대흥동,(지하1층))",042-252-0883
고가네황태한마리,"대전광역시 중구 문화로 71-1 (유천동,(1층))",042-581-2087
경희순대,대전광역시 중구 천근로 20 (문화동),042-586-7905
무지개한정식,"대전광역시 중구 보문로 264 (대흥동,지상2층)",042-256-8881
더스타일바식당,"대전광역시 중구 태평로26번길 7 (유천동,(2층))",
게다이코노미,"대전광역시 중구 유천로86번길 31 (유천동,(1층))",042-252-7155
돌우물,"대전광역시 중구 보문로337번길 15, 1층 (선화동)",042-252-6820
종가집,"대전광역시 중구 천근로70번길 16, 1층 (문화동)",
네네치킨앤봉구스밥버거센트럴문화점,"대전광역시 중구 문화로 173, 1층 (문화동)",042-584-6600
천생연분,대전광역시 중구 보문로 101 (부사동),
중화요리시온성,대전광역시 중구 서문로105번길 7 (문화동),042-255-3031
대전스테이크,"대전광역시 중구 중앙로164번길 43, 2층 (은행동)",042-223-5133
갈매기와뒷고기,대전광역시 중구 계백로1565번길 33 (유천동),042-535-3727
장수버섯마을,대전광역시 중구 유천로 57 (유천동),042-585-0105
파란간판원조황소집,"대전광역시 중구 목중로26번길 35 (중촌동,(1층))",042-222-0877
서울치킨,대전광역시 중구 중앙로112번길 34 (대흥동),042-252-7333
울엄마양평해장국,"대전광역시 중구 유천로 84, 1층 (유천동)",042-525-2486
범스,"대전광역시 중구 계룡로904번길 29, 1층 (문화동)",042-254-8280
명성복돼지,"대전광역시 중구 수침로55번길 48, 1층 (태평동)",042-526-1144
뜰방,대전광역시 중구 목동로 9-11 (목동),
별호프,대전광역시 중구 산서로 28 (사정동),
이어도활어회,"대전광역시 중구 계백로1615번길 61, 1층 (유천동)",
샘골,대전광역시 중구 계룡로881번길 30 (용두동),042-257-3188
큰솔식당,대전광역시 중구 대둔산로 497-1 (유천동),
송어촌,대전광역시 중구 대종로 269 (부사동),
선비촌식당,"대전광역시 중구 보문로337번길 20, 1층 (선화동)",042-257-2420
문창분식,대전광역시 중구 문창로6번길 9 (문창동),
덕화식당,대전광역시 중구 계룡로869번길 23 (용두동),042-226-0508
흑염소토속마을,"대전광역시 중구 서문로105번길 11, 1층 (문화동)",042-587-9261
투다리안영점,"대전광역시 중구 대둔산로 301 (사정동,(1층))",
조은사람들2,"대전광역시 중구 중앙로156번길 50 (은행동,(3층))",042-256-0340
욜로,"대전광역시 중구 대흥로165번길 43 (대흥동,(지하1층))",042-224-8088
본죽,대전광역시 중구 목중로 47 (목동),042-222-5002
존가네유천점,"대전광역시 중구 계백로1565번길 19 (유천동,,11(1층))",
신부산오뎅,"대전광역시 중구 계룡로874번길 106 (오류동,(1층))",042-531-9965
